<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,113830,114050,113790,113850
9/11/2018,113840,114000,113830,113940
9/11/2018,113940,114020,113920,113950
9/11/2018,113940,114000,113920,113940
9/11/2018,113940,113990,113920,113970
9/11/2018,113970,114070,113840,113980
9/11/2018,113960,114000,113890,113980
9/11/2018,113970,114000,113930,113970
9/11/2018,113950,113990,113920,113950
9/11/2018,113940,113980,113920,113980
9/11/2018,113970,113980,113930,113930
9/11/2018,113930,113940,113810,113910
9/11/2018,113920,113960,113860,113950
9/11/2018,113950,113990,113920,113970
9/11/2018,113970,114000,113910,114000
9/11/2018,114000,114030,113930,113970
9/11/2018,113960,113960,113910,113920
9/11/2018,113930,113930,113820,113910
9/11/2018,113910,113950,113890,113930
9/11/2018,113940,114010,113940,113980
9/11/2018,113970,114040,113940,114030
9/11/2018,114030,114040,113980,114000
9/11/2018,114000,114000,113950,113990
9/11/2018,113980,113990,113950,113980
9/11/2018,113980,114000,113960,113980
9/11/2018,113980,113990,113920,113960
9/11/2018,113960,114090,113950,114060
9/11/2018,114060,114070,114000,114040
9/11/2018,114050,114050,113940,113950
9/11/2018,113950,114020,113950,114020
9/11/2018,114020,114020,113960,114000
9/11/2018,114000,114060,114000,114000
9/11/2018,113990,114040,113990,114040
9/11/2018,114030,114050,113950,113960
9/11/2018,113960,113990,113900,113910
9/11/2018,113900,113910,113840,113910
9/11/2018,113910,113930,113880,113910
9/11/2018,113920,113950,113900,113950
9/11/2018,113950,113950,113910,113940
9/11/2018,113930,113960,113870,113910
9/11/2018,113900,113930,113860,113930
9/11/2018,113930,113930,113700,113820
9/11/2018,113810,113820,113730,113750
9/11/2018,113750,113750,113620,113640
9/11/2018,113650,113680,113620,113650
9/11/2018,113640,113660,113600,113640
9/11/2018,113640,113690,113630,113660
9/11/2018,113660,113680,113570,113600
9/11/2018,113600,113650,113580,113640
9/11/2018,113630,113700,113620,113700
9/11/2018,113700,113700,113640,113670
9/11/2018,113670,113690,113660,113660
9/11/2018,113650,113690,113600,113660
9/11/2018,113660,113710,113650,113700
9/11/2018,113690,113840,113690,113800
9/11/2018,113790,113830,113760,113810
9/11/2018,113810,113810,113760,113770
9/11/2018,113760,113800,113750,113780
9/11/2018,113780,113800,113740,113740
9/11/2018,113740,113770,113720,113730
9/11/2018,113740,113770,113660,113720
9/11/2018,113730,113810,113690,113740
9/11/2018,113740,113770,113720,113730
9/11/2018,113730,113750,113710,113730
9/11/2018,113730,113740,113630,113660
9/11/2018,113660,113670,113470,113510
9/11/2018,113510,113520,113410,113490
9/11/2018,113490,113570,113470,113540
9/11/2018,113550,113590,113510,113540
9/11/2018,113540,113540,113400,113430
9/11/2018,113420,113530,113400,113470
9/11/2018,113470,113520,113450,113510
9/11/2018,113520,113520,113470,113490
9/11/2018,113480,113510,113460,113510
9/11/2018,113510,113510,113430,113440
9/11/2018,113450,113510,113380,113380
9/11/2018,113380,113410,113350,113370
9/11/2018,113370,113380,113260,113320
9/11/2018,113320,113360,113300,113340
9/11/2018,113330,113400,113320,113350
